Node_Index,Node_ID,Cluster_Label
331,J04030201020700709854,4
332,J04030201020700709855,4
333,J04030201020700709856,4
334,J04030201020700709857,4
335,J04030201020700709858,4
336,J04030201020700709859,4
337,J04030201020700709860,4
338,J04030201020700709861,4
339,J04030201020700709862,4
340,J04030201021300699181,5
341,J04030201021300699186,5
342,J04030201021300699188,5
343,J04030201021300699190,5
344,J04030201021300699191,5
345,J04030201021300699192,5
346,J04030201021300699720,5
347,J04030201021300700951,5
348,J04030201021300700952,7
349,J04030201021300700953,5
350,J04030201021300700954,5
351,J04030201021300700955,5
352,J04030201110701158340,7
353,J04030201110701158368,9
354,J04030201110701159361,0
355,J04030201110701159363,4
356,J04030201990700708665,7
357,JJTN-03(tb),3
358,JJTNfoulout,7
